time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
,,,,,847904,0.2303466796875,-1.5582545083016157,0.022615016,0.0003,412,1.7061280077323318,0.6995859146118164,0.2,-0.007817537363735028,0.4804992377758026,100.0,-9.904
228,42,73.2,-3.7718000000000007,1503,851968,,,,,,,,,,,,
229,43,78.43,-4.9261,1535,860160,0.212921142578125,-1.5263576060533524,0.02006384,0.0003,416,1.6555572976358235,0.6510554850101471,0.2,-0.006983117044001119,0.6427856683731079,,
,,,,,867904,0.2578125,-1.6610127771273255,0.02717024,0.0003,420,1.5166023029014468,0.5662532150745392,0.2,-0.008207890572521137,0.5430549383163452,61.0,-1.6319999999999997
228,44,72.19,-3.5629999999999997,1575,868352,,,,,,,,,,,,
228,45,72.69,-3.6145,1611,876544,0.248138427734375,-1.5439901929348707,0.02257337,0.0003,424,1.6615554834716022,0.6866160035133362,0.2,-0.009943465927790385,0.6798223853111267,,
229,46,76.99,-4.476599999999999,1644,884736,0.25262451171875,-1.5900487247854471,0.021655673,0.0003,428,1.8133941302075982,0.5555382072925568,0.2,-0.007881383771746187,0.5433387160301208,,
,,,,,887904,0.232330322265625,-1.5511056752875447,0.022980556,0.0003,432,1.3151906267739832,0.7322894036769867,0.2,-0.005445290142233716,0.3044624924659729,80.4,-5.7219999999999995
228,47,67.93,-2.707,1682,892928,,,,,,,,,,,,
229,48,66.93,-2.5056999999999996,1712,901120,0.219635009765625,-1.4878959013149142,0.01925397,0.0003,436,1.675656899344176,0.6260741651058197,0.2,-0.008905173221137375,0.553294837474823,,
,,,,,907904,0.229644775390625,-1.6194944316521287,0.022439092,0.0003,440,1.3503439691849053,0.7117607593536377,0.2,-0.010419969588838285,0.3552025854587555,100.0,-9.847999999999999
229,49,64.91,-1.9659999999999997,1750,909312,,,,,,,,,,,,
229,50,69.63,-2.8749999999999996,1780,917504,0.238494873046875,-1.4971427554264665,0.023592446,0.0003,444,1.7798828817903996,0.6638352572917938,0.2,-0.011674423152726376,0.44071778655052185,,
230,51,66.1,-2.0976999999999997,1813,925696,0.2183837890625,-1.5096552390605211,0.020030182,0.0003,448,1.7031442164443433,0.6739537119865417,0.2,-0.007237716603412991,0.5005447864532471,,
,,,,,927904,0.226043701171875,-1.4427127595990896,0.019589808,0.0003,452,1.819791976828128,0.6784872114658356,0.2,-0.007184420366684208,0.5429698824882507,41.0,2.5060000000000002
230,52,64.05,-1.783,1849,933888,,,,,,,,,,,,
230,53,76.17,-4.3968,1883,942080,0.228363037109375,-1.4659422878175974,0.02059726,0.0003,456,1.8922624750994146,0.703682005405426,0.2,-0.006888535217512981,0.668566107749939,,
,,,,,947904,0.246856689453125,-1.5126886451616883,0.024210969,0.0003,460,1.8498680163174868,0.6441223323345184,0.2,-0.00912902823620243,0.5785126090049744,60.8,-1.6759999999999997
229,54,67.99,-2.6127,1926,950272,,,,,,,,,,,,
229,55,78.76,-4.8908999999999985,1959,958464,0.21502685546875,-1.44892936386168,0.019760918,0.0003,464,1.7431594897061586,0.699338287115097,0.2,-0.007919094485259848,0.5188460350036621,,
230,56,72.9,-3.7653,1992,966656,0.207733154296875,-1.4009293150156736,0.022074316,0.0003,468,1.555192775093019,0.6998536288738251,0.2,-0.00982418907005922,0.6399577260017395,,
,,,,,967904,0.217132568359375,-1.4001377327367663,0.020827562,0.0003,472,1.7509710071608424,0.6743461787700653,0.2,-0.008881949452188564,0.6331712007522583,80.2,-5.720000000000001
229,57,69.15,-2.9431,2030,974848,,,,,,,,,,,,
230,58,64.19,-1.9118000000000002,2064,983040,0.2098388671875,-1.4801369719207287,0.019719735,0.0003,476,1.6534465770237148,0.6540563702583313,0.2,-0.007530931608926039,0.4646815061569214,,
,,,,,987904,0.230438232421875,-1.3859329828992486,0.022546377,0.0003,480,1.7570791821926832,0.6914359629154205,0.2,-0.006314594598734402,0.6240964531898499,80.6,-5.858
229,59,67.89,-2.3963,2104,991232,,,,,,,,,,,,
229,60,63.02,-1.4559,2138,999424,0.2032470703125,-1.4333521155640483,0.020460216,0.0003,484,1.8062043213285506,0.6491930782794952,0.2,-0.008779007192060817,0.7013176083564758,,
229,61,59.63,-0.7027999999999999,2173,1007616,0.237548828125,-1.562541645951569,0.021861363,0.0003,488,2.0052059637382627,0.6594919562339783,0.2,-0.007159222266636789,0.6037946939468384,,
,,,,,1007904,0.211517333984375,-1.3823508331552148,0.018946607,0.0003,492,2.1333979787304997,0.6932493150234222,0.2,-0.008395247776206816,0.9482100605964661,80.6,-5.806
229,62,60.18,-1.0923999999999996,2216,1015808,,,,,,,,,,,,
