time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/clip_range,train/approx_kl,train/n_updates
49,2760,401408,145,-4.361299999999999,84.02,0.0235595703125,0.0003,-0.0011119934351881966,7.684391096234322,-1.1920929e-07,-1.756930012255907,2.0661110877990723,0.2,0.006871,192
50,2817,409600,145,-4.7903,85.9,0.044219970703125,0.0003,-0.002108807584590977,8.646518427878618,0.0,-1.7315915171056986,3.8507745265960693,0.2,0.010057942,196
51,2874,417792,145,-3.5479999999999996,79.13,0.03717041015625,0.0003,-0.0020677127977251075,6.92682228051126,0.0,-1.6879503056406975,4.013696670532227,0.2,0.007217508,200
52,2942,425984,144,-5.0687999999999995,85.88,0.02484130859375,0.0003,-0.0003036998023162596,8.271851051598787,0.0,-1.6529207453131676,5.310196399688721,0.2,0.0075763594,204
53,2998,434176,144,-5.1295,87.32,0.067901611328125,0.0003,-0.0016104843343782704,6.784186577424407,0.0,-1.6640665214508772,3.14534068107605,0.2,0.007912606,208
54,3062,442368,144,-4.5162,85.08,0.027435302734375,0.0003,-0.0009466850497119594,7.430873783305287,0.0,-1.6672964002937078,3.7531630992889404,0.2,0.0053866827,212
55,3117,450560,144,-4.2982,84.48,0.051422119140625,0.0003,-0.00021162476696190424,8.38694667071104,-2.3841858e-07,-1.6457216991111636,2.6816210746765137,0.2,0.008006124,216
56,3170,458752,144,-6.315500000000001,93.56,0.072540283203125,0.0003,-0.0009335665745311417,7.994910687208176,0.0,-1.642796030268073,4.421304225921631,0.2,0.011124268,220
57,3232,466944,144,-5.8635,92.52,0.020263671875,0.0003,-0.0005757775525125908,5.9216261468827724,0.0,-1.624436154961586,4.308868408203125,0.2,0.005349377,224
58,3286,475136,144,-5.6517,88.22,0.05572509765625,0.0003,-0.0014582109997718362,6.464773040264845,0.0,-1.6231356300413609,3.311979293823242,0.2,0.009837979,228
59,3350,483328,144,-3.7807999999999997,81.56,0.085205078125,0.0003,-0.0027373757511668373,6.4363985396921635,0.0,-1.6360079972073436,2.092357873916626,0.2,0.011856722,232
60,3403,491520,144,-4.3038,83.55,0.034912109375,0.0003,0.0013654735012096353,9.03062978386879,-1.1920929e-07,-1.6030187858268619,5.387962341308594,0.2,0.006445637,236
61,3454,499712,144,-6.714399999999999,94.36,0.041595458984375,0.0003,-0.0008609910109953489,8.824997790157795,0.0,-1.6074862638488412,3.694474458694458,0.2,0.007927152,240
62,3521,507904,144,-2.9423999999999997,76.41,0.05975341796875,0.0003,-0.0017498158158559818,6.7049222607165575,0.0,-1.6206971853971481,5.055850505828857,0.2,0.008021368,244
63,3571,516096,144,-4.843,86.1,0.033599853515625,0.0003,-0.0016505114326719195,9.140526853501797,0.0,-1.617815283127129,4.65739107131958,0.2,0.0049529006,248
64,3630,524288,144,-5.126400000000001,87.4,0.040557861328125,0.0003,-0.0016067550277512055,7.293647551909089,5.9604645e-08,-1.6026683738455176,2.8255250453948975,0.2,0.005376079,252
65,3679,532480,144,-4.7219999999999995,85.58,0.015716552734375,0.0003,3.93551163142547e-05,7.128911959007382,0.0,-1.5797917554154992,3.5597102642059326,0.2,0.008168206,256
66,3738,540672,144,-4.9038,85.83,0.02325439453125,0.0003,-0.00030774054539506324,8.796089049428701,0.0,-1.5786144100129604,4.031984806060791,0.2,0.004296643,260
67,3789,548864,144,-5.957400000000002,90.44,0.014251708984375,0.0003,0.0001772919604263734,6.859986390918493,5.9604645e-08,-1.5596356960013509,3.7875733375549316,0.2,0.0031984902,264
68,3840,557056,145,-2.7200000000000006,76.35,0.05352783203125,0.0003,-1.1629927030298859e-05,6.576941359788179,-1.1920929e-07,-1.5601327177137136,3.336826801300049,0.2,0.009026082,268
69,3899,565248,144,-5.132899999999999,87.24,0.043548583984375,0.0003,-0.0015843622386455536,9.645151939243078,0.0,-1.5645797662436962,5.365464210510254,0.2,0.009244919,272
70,3950,573440,145,-5.251899999999998,88.22,0.072418212890625,0.0003,7.040381387923844e-05,6.617812652140856,0.0,-1.5284006902948022,2.180720806121826,0.2,0.010198753,276
71,4010,581632,145,-6.2025,92.51,0.06085205078125,0.0003,-0.001953260860318551,7.542581129819155,1.1920929e-07,-1.5511543843895197,3.7548866271972656,0.2,0.010270216,280
72,4060,589824,145,-4.731300000000001,85.45,0.032501220703125,0.0003,0.00012031312508042902,6.84832613542676,0.0,-1.541616096161306,5.520584583282471,0.2,0.005040177,284
73,4110,598016,145,-5.1056,87.14,0.05450439453125,0.0003,1.3082757504889742e-05,7.1224936451762915,-1.1920929e-07,-1.5226439712569118,2.335817337036133,0.2,0.005609534,288
74,4172,606208,145,-3.8583000000000003,80.74,0.055450439453125,0.0003,-0.0016896623819775414,7.4451990239322186,0.0,-1.5261241728439927,3.9197299480438232,0.2,0.0078095947,292
