rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,,,3224544,,0.5683858096599579,0.6829561591148376,1884,2.3673381451517344,0.2,-0.01060057690483518,0.053866006,0.2691650390625,-1.180057929828763,0.0003,145.0,-12.406
119.98,123,1958,-7.917460000000001,3226208,59,,,,,,,,,,,,
115.77,123,1991,-7.24864,3230304,60,0.6884767413139343,0.6777791380882263,1888,2.173828930594027,0.2,-0.010371557073085569,0.046257816,0.3037109375,-1.315554928034544,0.0003,,
100.48,123,2023,-4.68066,3234400,61,0.7504884600639343,0.9007073640823364,1892,2.2524721939116716,0.2,-0.016315619948727544,0.049429268,0.303955078125,-1.3450865037739277,0.0003,,
97.8,123,2058,-4.4681999999999995,3238496,62,0.7121565937995911,0.7309705018997192,1896,2.7092078011482954,0.2,-0.009872074573650025,0.04070499,0.29296875,-1.3393117431551218,0.0003,,
102.78,123,2090,-5.22836,3242592,63,0.7298858165740967,0.6767182946205139,1900,2.4526270888745785,0.2,-0.009322835932835005,0.042340744,0.32452392578125,-1.3512160200625658,0.0003,,
,,,,3244544,,0.6772593557834625,0.6211187839508057,1904,2.133954740129411,0.2,-0.012669635376369115,0.047812987,0.32061767578125,-1.4001573342829943,0.0003,180.0,-19.36
99.81,122,2141,-4.403620000000001,3246688,64,,,,,,,,,,,,
104.27,122,2171,-5.241039999999999,3250784,65,0.7176144123077393,0.7280964255332947,1908,2.115284737199545,0.2,-0.008992604693048634,0.046265773,0.28204345703125,-1.269899433478713,0.0003,,
104.16,122,2202,-5.535920000000001,3254880,66,0.7294742166996002,0.9261310696601868,1912,1.9364847429096699,0.2,-0.014204510225681588,0.055809468,0.31219482421875,-1.3707622308284044,0.0003,,
104.14,122,2234,-5.24068,3258976,67,0.7467864453792572,0.46728500723838806,1916,1.771440764889121,0.2,-0.00967643795593176,0.03629197,0.27032470703125,-1.2680084854364395,0.0003,,
112.0,122,2270,-6.546800000000002,3263072,68,0.7178371846675873,0.49035999178886414,1920,1.866893071681261,0.2,-0.011293180563370697,0.041324727,0.2952880859375,-1.3467881381511688,0.0003,,
,,,,3264544,,0.6938256621360779,0.5126819014549255,1924,1.7714709229767323,0.2,-0.012700910665444098,0.05064262,0.3189697265625,-1.4392347894608974,0.0003,112.4,-7.752799999999999
115.43,121,2319,-7.33096,3267168,69,,,,,,,,,,,,
122.73,121,2351,-8.634360000000001,3271264,70,0.5683868229389191,0.45731261372566223,1928,1.7883804319426417,0.2,-0.010360153151850682,0.040867746,0.32550048828125,-1.3908893689513206,0.0003,,
123.96,121,2385,-8.98132,3275360,71,0.6683211028575897,0.7270700335502625,1932,2.052078239619732,0.2,-0.016500177611305844,0.038808133,0.294677734375,-1.4066176768392324,0.0003,,
124.23,122,2414,-8.91336,3279456,72,0.6506419479846954,0.3481591045856476,1936,1.7610399117693305,0.2,-0.01830483484081924,0.047415912,0.328369140625,-1.4260376896709204,0.0003,,
122.98,122,2444,-8.50716,3283552,73,0.6355723142623901,0.4005625247955322,1940,1.6502605825662613,0.2,-0.010919117514276877,0.040027946,0.28271484375,-1.5168721042573452,0.0003,,
,,,,3284544,,0.5974576473236084,0.44825074076652527,1944,2.330837327055633,0.2,-0.014797624025959522,0.045311756,0.29766845703125,-1.3338664546608925,0.0003,111.0,-6.566
115.0,121,2493,-6.9946,3287648,74,,,,,,,,,,,,
115.56,121,2518,-7.076820000000001,3291744,75,0.7439856827259064,0.7844746708869934,1948,2.0354898776859045,0.2,-0.017281532600463834,0.039088532,0.27996826171875,-1.438681025058031,0.0003,,
114.4,122,2542,-7.0298,3295840,76,0.5759614408016205,0.670895516872406,1952,2.2803019108250737,0.2,-0.017585351946763694,0.036755398,0.306884765625,-1.4754874873906374,0.0003,,
105.26,122,2567,-5.582019999999999,3299936,77,0.6607866585254669,0.5985336303710938,1956,2.1951751094311476,0.2,-0.010960218409309164,0.04334265,0.2882080078125,-1.2292192354798317,0.0003,,
110.34,123,2592,-6.456680000000001,3304032,78,0.6498612463474274,0.4829206168651581,1960,2.431857534684241,0.2,-0.012412676347594243,0.042779528,0.281005859375,-1.3287175633013248,0.0003,,
,,,,3304544,,0.63033327460289,0.6176332831382751,1964,2.0674440683797,0.2,-0.014282415955676697,0.04378235,0.310791015625,-1.4157322756946087,0.0003,145.0,-12.398
115.79,122,2634,-7.51048,3308128,79,,,,,,,,,,,,
110.67,123,2659,-6.5551400000000015,3312224,80,0.7300828993320465,0.8289076089859009,1968,1.8981132414191961,0.2,-0.015851909440243617,0.04900553,0.311279296875,-1.4690956715494394,0.0003,,
98.8,123,2684,-4.619200000000001,3316320,81,0.7376516759395599,0.5585624575614929,1972,2.3114452231675386,0.2,-0.012380103566101752,0.03884738,0.279052734375,-1.341324893757701,0.0003,,
98.13,124,2708,-4.38446,3320416,82,0.6862001419067383,0.5721316933631897,1976,2.374971126206219,0.2,-0.01576314259727951,0.04522326,0.28558349609375,-1.3336746394634247,0.0003,,
105.06,124,2733,-5.89172,3324512,83,0.7679705023765564,0.7454943060874939,1980,1.7675779201090336,0.2,-0.014824463425611611,0.043531783,0.32525634765625,-1.4591642618179321,0.0003,,
,,,,3324544,,0.6037929952144623,0.5274290442466736,1984,1.8182716211304069,0.2,-0.01798304377007298,0.04514798,0.33599853515625,-1.4305026642978191,0.0003,109.4,-6.3768
116.29,124,2773,-7.52068,3328608,84,,,,,,,,,,,,
117.85,124,2798,-7.8107,3332704,85,0.6989915370941162,0.38623055815696716,1988,1.8368355827406049,0.2,-0.014621355396229774,0.040900983,0.31158447265625,-1.4073445294052362,0.0003,,
112.33,124,2824,-6.496759999999999,3336800,86,0.6747934520244598,0.696649432182312,1992,2.011550210416317,0.2,-0.018823603524651844,0.03694864,0.284423828125,-1.259947070851922,0.0003,,
105.4,124,2850,-5.4634,3340896,87,0.6763097643852234,0.639759361743927,1996,2.1352622266858816,0.2,-0.0196291559987003,0.041829873,0.3260498046875,-1.4101346787065268,0.0003,,
,,,,3344544,,0.6935850083827972,0.5176844596862793,2000,2.127161375246942,0.2,-0.015253769197443034,0.037760243,0.27740478515625,-1.2966989055275917,0.0003,180.0,-19.996000000000002
97.25,124,2898,-4.0857,3344992,88,,,,,,,,,,,,
98.64,124,2925,-4.261780000000001,3349088,89,0.7161917686462402,0.5594090223312378,2004,2.2254892578348517,0.2,-0.01899180419422919,0.037109625,0.28021240234375,-1.306717423722148,0.0003,,
106.09,124,2951,-5.55668,3353184,90,0.7040612399578094,0.8700520992279053,2008,2.4557399582117796,0.2,-0.013250206349766813,0.03953666,0.2900390625,-1.4016035441309214,0.0003,,
104.28,125,2977,-5.20146,3357280,91,0.6359192132949829,1.102116584777832,2012,2.738648248836398,0.2,-0.011259345657890663,0.04478468,0.30877685546875,-1.419353798031807,0.0003,,
111.65,125,3011,-6.434,3361376,92,0.7315562069416046,0.7498388886451721,2016,2.2628472708165646,0.2,-0.021552422287641093,0.050248004,0.3323974609375,-1.424900408834219,0.0003,,
,,,,3364544,,0.6465964615345001,0.3922988176345825,2020,2.083770526573062,0.2,-0.013910750058130361,0.04938165,0.33050537109375,-1.4092342779040337,0.0003,110.2,-6.986400000000001
99.19,124,3057,-4.41768,3365472,93,,,,,,,,,,,,
102.73,124,3086,-5.28016,3369568,94,0.7408289611339569,0.7190852761268616,2024,1.9157202132046223,0.2,-0.012789021347998641,0.03596126,0.2799072265625,-1.2685698550194502,0.0003,,
106.61,124,3117,-6.08792,3373664,95,0.7188838720321655,0.5687215328216553,2028,2.126211446709931,0.2,-0.01672020708792843,0.04533885,0.35198974609375,-1.4875505231320858,0.0003,,
103.53,124,3147,-5.43496,3377760,96,0.7234092056751251,0.585221529006958,2032,2.0072704777121544,0.2,-0.0162168540264247,0.041255746,0.2900390625,-1.4117795582860708,0.0003,,
100.86,125,3176,-4.92702,3381856,97,0.6023367643356323,0.6988800764083862,2036,2.361465957015753,0.2,-0.012775516850524582,0.042390488,0.29193115234375,-1.495232604444027,0.0003,,
,,,,3384544,,0.7287714183330536,0.531300961971283,2040,1.6244929302483797,0.2,-0.011963674463913776,0.0382293,0.27642822265625,-1.3499191869050264,0.0003,146.0,-13.511999999999997
103.21,124,3226,-5.25972,3385952,98,,,,,,,,,,,,
110.76,124,3256,-6.499419999999999,3390048,99,0.6844042241573334,0.7466415762901306,2044,2.441207422874868,0.2,-0.010029457160271704,0.035185754,0.290283203125,-1.4022365733981133,0.0003,,
107.18,124,3288,-6.077060000000001,3394144,100,0.7019958198070526,0.569741427898407,2048,2.0902551086619496,0.2,-0.015832946315640584,0.041064784,0.28192138671875,-1.4694442301988602,0.0003,,
120.59,124,3316,-8.49488,3398240,101,0.7716493159532547,0.3584713935852051,2052,1.698661438189447,0.2,-0.01666105689946562,0.047488555,0.3094482421875,-1.4622673075646162,0.0003,,
120.13,124,3344,-8.453959999999999,3402336,102,0.7286517918109894,0.30294257402420044,2056,1.667398170568049,0.2,-0.019035265118873212,0.045457777,0.3277587890625,-1.635717909783125,0.0003,,
,,,,3404544,,0.6577935814857483,0.42200857400894165,2060,1.5642546266317368,0.2,-0.01589938223332865,0.042569153,0.3028564453125,-1.4330893140286207,0.0003,110.2,-6.978399999999999
122.12,124,3388,-8.58254,3406432,103,,,,,,,,,,,,
120.77,124,3416,-8.38184,3410528,104,0.66618612408638,0.5263678431510925,2064,2.2538751866668463,0.2,-0.01281582638330292,0.040769115,0.32232666015625,-1.329519683495164,0.0003,,
117.52,124,3444,-7.856339999999999,3414624,105,0.7115951478481293,0.543211817741394,2068,1.8084657043218613,0.2,-0.01522043337172363,0.040674638,0.29241943359375,-1.5427045617252588,0.0003,,
111.83,125,3473,-6.719060000000001,3418720,106,0.6455542743206024,0.3392028212547302,2072,1.6967457933351398,0.2,-0.012259339448064566,0.03935359,0.29595947265625,-1.5592519361525774,0.0003,,
104.87,125,3500,-5.38034,3422816,107,0.6861344277858734,0.7926514744758606,2076,2.2684898218140006,0.2,-0.018628320343850646,0.041010715,0.3160400390625,-1.4585340041667223,0.0003,,
,,,,3424544,,0.6751891076564789,0.4900190532207489,2080,2.089883948676288,0.2,-0.010978568505379371,0.040292542,0.30401611328125,-1.353002179414034,0.0003,180.0,-18.936
97.64,124,3553,-4.050979999999999,3426912,108,,,,,,,,,,,,
105.13,124,3582,-5.81296,3431008,109,0.683512419462204,0.3648633062839508,2084,2.2468303628265858,0.2,-0.011260872750426643,0.04005132,0.31695556640625,-1.442477758973837,0.0003,,
113.73,124,3611,-7.424760000000001,3435104,110,0.5140229761600494,0.5237061381340027,2088,1.8205336164683104,0.2,-0.01374282302276697,0.050433032,0.35650634765625,-1.5519492533057928,0.0003,,
115.68,124,3641,-7.485859999999999,3439200,111,0.6296806335449219,0.524910569190979,2092,1.887262050062418,0.2,-0.016237132716923952,0.041511137,0.29974365234375,-1.4563933834433556,0.0003,,
106.84,125,3669,-5.79418,3443296,112,0.6531791687011719,0.5690393447875977,2096,2.296057539060712,0.2,-0.010463688646268565,0.057141438,0.34442138671875,-1.3620219696313143,0.0003,,
,,,,3444544,,0.6861045658588409,0.7685319781303406,2100,2.442955456674099,0.2,-0.013057053969532717,0.04313107,0.30328369140625,-1.4763819891959429,0.0003,180.0,-19.375999999999998
110.91,124,3719,-6.354420000000001,3447392,113,,,,,,,,,,,,
113.9,124,3749,-6.716199999999998,3451488,114,0.6310907602310181,0.5228369235992432,2104,2.2276750905439258,0.2,-0.013234552141511813,0.039426353,0.2947998046875,-1.506670817732811,0.0003,,
117.35,124,3777,-7.553500000000001,3455584,115,0.5355286598205566,0.6081283092498779,2108,2.2987052854150534,0.2,-0.015322789011406712,0.039341778,0.3140869140625,-1.441757371649146,0.0003,,
116.14,124,3806,-7.465379999999999,3459680,116,0.5940234065055847,0.8432347178459167,2112,2.064650572836399,0.2,-0.008723828948859591,0.03756451,0.31280517578125,-1.4716235641390085,0.0003,,
112.59,124,3835,-6.98208,3463776,117,0.634387344121933,0.5428358912467957,2116,2.137564469128847,0.2,-0.013592811570561025,0.039217334,0.2987060546875,-1.4466929212212563,0.0003,,
,,,,3464544,,0.7243665456771851,0.3714613616466522,2120,1.8428200222551823,0.2,-0.015346271742600948,0.039783604,0.29449462890625,-1.4452377893030643,0.0003,145.2,-12.4244
104.71,124,3881,-5.504320000000002,3467872,118,,,,,,,,,,,,
116.19,124,3906,-7.6670799999999995,3471968,119,0.6151564419269562,0.4430842101573944,2124,1.9685367792844772,0.2,-0.011618856202403549,0.04679405,0.3404541015625,-1.4670356716960669,0.0003,,
120.09,124,3932,-8.35838,3476064,120,0.679967999458313,0.6080581545829773,2128,1.5572075489908457,0.2,-0.014478803568636067,0.045785792,0.34539794921875,-1.520070118829608,0.0003,,
115.03,125,3958,-7.316860000000002,3480160,121,0.5502862930297852,0.8107791543006897,2132,2.7460813876241446,0.2,-0.012368484793114476,0.03835373,0.30804443359375,-1.492706710472703,0.0003,,
104.57,125,3984,-5.587840000000001,3484256,122,0.659399539232254,0.7153141498565674,2136,2.2521079815924168,0.2,-0.013019379613979254,0.042491708,0.26702880859375,-1.375264910981059,0.0003,,
,,,,3484544,,0.6274119019508362,0.6897867321968079,2140,2.377054891549051,0.2,-0.012743475352181122,0.04036202,0.30010986328125,-1.4478875566273928,0.0003,180.0,-19.906
106.42,125,4030,-5.752539999999999,3488352,123,,,,,,,,,,,,
107.7,125,4056,-5.890700000000001,3492448,124,0.7018332779407501,0.49988511204719543,2144,2.314029125496745,0.2,-0.014636883868661243,0.045404457,0.3089599609375,-1.487768940627575,0.0003,,
110.96,125,4081,-6.426619999999999,3496544,125,0.7380666434764862,0.6260046362876892,2148,2.072253459133208,0.2,-0.013195555664424319,0.040321663,0.32110595703125,-1.4656645953655243,0.0003,,
117.61,125,4107,-7.366319999999999,3500640,126,0.6145667731761932,0.5833162665367126,2152,2.1195230036973953,0.2,-0.016632602324534673,0.04617428,0.35296630859375,-1.502082159742713,0.0003,,
,,,,3504544,,0.6758787631988525,0.5667784214019775,2156,1.8406890509650111,0.2,-0.013289625494508073,0.0417199,0.3052978515625,-1.513058364391327,0.0003,145.2,-12.424400000000002
120.02,125,4150,-7.961540000000001,3504736,127,,,,,,,,,,,,
112.34,125,4176,-6.602879999999999,3508832,128,0.755369558930397,0.518147885799408,2160,1.846277555450797,0.2,-0.014449946567765437,0.037563913,0.294921875,-1.4108770061284304,0.0003,,
100.72,125,4202,-4.72724,3512928,129,0.74147167801857,0.3121197819709778,2164,1.7429899061098695,0.2,-0.016239328218944138,0.041632146,0.30938720703125,-1.4626743737608194,0.0003,,
100.32,125,4227,-4.65204,3517024,130,0.7212832272052765,0.38498422503471375,2168,1.9670617748051882,0.2,-0.017260602733585984,0.037070423,0.30596923828125,-1.4662895165383816,0.0003,,
95.34,126,4254,-3.51248,3521120,131,0.6985280811786652,0.30037224292755127,2172,1.8907241709530354,0.2,-0.01535668148426339,0.049278248,0.32958984375,-1.5097070783376694,0.0003,,
